"minute","case_a","case_b","demand_kW","generation_kW","grid_available","a_grid_kW","a_unserved_kW","a_discharge_kW","a_charge_kW","a_curtailed_kW","a_gridLimited_kW","a_gridUnavailable_kW","a_stored_kWh","b_grid_kW","b_unserved_kW","b_discharge_kW","b_charge_kW","b_curtailed_kW","b_gridLimited_kW","b_gridUnavailable_kW","b_stored_kWh","change_grid_kW","change_unserved_kW","change_discharge_kW","change_charge_kW","change_curtailed_kW","change_gridLimited_kW","change_gridUnavailable_kW","change_stored_kWh","microgrid_version","comparison_version","case_a_settings_json","case_b_settings_json"
50,"baseline","4:release",5.625,592.6983992293208,"true",0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
51,"baseline","4:release",5.625,592.6983992293208,"true",0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
52,"baseline","4:release",5.625,592.6983992293208,"true",0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
53,"baseline","4:release",5.625,592.6983992293208,"true",0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
54,"baseline","4:release",5.625,592.6983992293208,"true",0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
55,"baseline","4:release",5.625,592.6983992293208,"true",0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
56,"baseline","4:release",5.625,592.6983992293208,"true",0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
57,"baseline","4:release",5.625,592.6983992293208,"true",0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
58,"baseline","4:release",5.625,592.6983992293208,"true",0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
59,"baseline","4:release",5.625,592.6983992293208,"true",0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
60,"baseline","4:release",5.625,592.6983992293208,"true",0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
61,"baseline","4:release",5.625,592.6983992293208,"true",0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,587.0733992293208,0,0,10,0,0,0,0,0,0,0,0,5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":false,""power"":2.5},""outageStart"":90,""outageMinutes"":60,""duration"":240}","{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":75},""batteryUnits"":1,""reserve"":0,""demand"":3.75,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3.75},""outageStart"":90,""outageMinutes"":60,""duration"":240}"
